parameter,mu,mu_star,sigma,mu_star_conf
scale,2.0625,2.0625,13.377955457059022,1.8283587206797336
imitation_period,1.8675,1.8675,10.973870003983157,1.5059951184699907
coop,-1.665,1.665,11.040936845764532,1.6100397042542074
cooperation_increase,-1.5975,1.5975,11.823524109241248,1.55947194152824
q,1.59,1.59,12.578373399885,1.514096619746758
fully_coop,-1.275,1.275,9.857113595886531,1.3500964176011179
trust_decrease,1.1775,1.1775,12.808396419701479,1.5283190846288413
cond_coop,1.125,1.125,11.45800174638233,1.543169440056639
rad_attraction,-1.0725,1.0725,9.987730852798336,1.359199695422443
initial_trust,0.84,0.84,9.554098807323518,1.4310774342822834
imitation_radius,-0.675,0.675,8.601412470194196,1.0908504117489712
fully_noncoop,-0.675,0.675,10.521782860944429,1.5218303427344033
noncoop,-0.6675,0.6675,10.49374993452972,1.3116193004868704
rad_repulsion,-0.525,0.525,8.998429511217047,1.0498312324136865
imitation_nudge_factor,-0.525,0.525,8.839971747834532,1.0742512682498842
fish_density_threshold,0.495,0.495,11.146240098872294,1.4260651288543236
K,-0.435,0.435,7.557203957700991,1.0080525741074697
trust_radius,0.4275,0.4275,11.17892371506022,1.3126976258067793
trust_memory,0.345,0.345,9.187383472750925,1.061854857608429
rad_orientation,0.3375,0.3375,8.32987260636026,1.1155784682392813
move_fishers,0.3075,0.3075,11.011720286510247,1.306941141857763
imitation_prob,-0.2775,0.2775,9.465448607260175,1.219251024232103
r,0.135,0.135,10.668451353001362,1.2247752766354887
threshold_radius,-0.12,0.12,10.417688861068473,1.3243240367635316
trust_increase,0.0675,0.0675,14.093164305817021,1.886253308092174
num_fishers,0.045,0.045,13.63202610320246,1.6704676348879302
threshold_memory,0.0375,0.0375,10.580385937333043,1.258338395141467
trust_threshold,0.015,0.015,10.104343809426485,1.2937858088297518
